cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Pattern_5	UKB_IDP_0151_IDP_T1_FAST_ROIs_V_cerebellum_VIIb	0.2176629012687378	0.3423777387924358	0.02729030676081579	1.5729724119119348	0.12537876965593586	5.098132355186757e-07	2.4943354203768735e-08	7.175163278776877e-09	3.4763465630876533
Pattern_5	UKB_IDP_0152_IDP_T1_FAST_ROIs_R_cerebellum_VIIb	0.2176629012687378	0.31873766111691665	0.03111934925095311	1.4643637443910882	0.14297038709656618	5.345732035381821e-05	2.268724504199418e-08	1.0186054071993354e-08	2.2272849605592575
Pattern_5	UKB_IDP_0153_IDP_T1_FAST_ROIs_L_cerebellum_VIIIa	0.2176629012687378	0.31730324156804635	0.025415464041684335	1.457773647776051	0.116765254407342	2.9752013519267116e-05	1.4546095999955765e-08	7.60853653223153e-09	1.9118125986955732
Pattern_5	UKB_IDP_0154_IDP_T1_FAST_ROIs_V_cerebellum_VIIIa	0.2176629012687378	0.327206352094496	0.025754555421055255	1.5032711141275759	0.11832312842902594	7.5870439069197475e-06	1.959050560242122e-08	8.98552142140909e-09	2.1802302486024323
Pattern_5	UKB_IDP_0155_IDP_T1_FAST_ROIs_R_cerebellum_VIIIa	0.2176629012687378	0.31138772406224274	0.02993367898841783	1.4305962212540182	0.13752310942258447	0.0003413245840457279	1.631021589861216e-08	8.508401254703933e-09	1.9169542444410381
Pattern_5	UKB_IDP_0156_IDP_T1_FAST_ROIs_L_cerebellum_VIIIb	0.2176629012687378	0.32873225171140374	0.027273790066899804	1.510281493976477	0.12530288766676956	1.1890358900205909e-05	1.605666595724729e-08	8.206108558773872e-09	1.9566723791485428
Pattern_5	UKB_IDP_0157_IDP_T1_FAST_ROIs_V_cerebellum_VIIIb	0.2176629012687378	0.3155815450997476	0.02204156339939603	1.4498637262494007	0.10126467703461503	9.934996032517647e-07	1.8192166125120066e-08	8.381341240686262e-09	2.1705554758716037
Pattern_5	UKB_IDP_0158_IDP_T1_FAST_ROIs_R_cerebellum_VIIIb	0.2176629012687378	0.307432729279054	0.02809075356626457	1.4124259462088202	0.1290562305405563	0.0014800046196305353	1.0687769702285173e-08	7.428538222228797e-09	1.4387446604641017
Pattern_5	UKB_IDP_0159_IDP_T1_FAST_ROIs_L_cerebellum_IX	0.2176629012687378	0.3232138205314465	0.02431137222945595	1.4849283853493715	0.11169276935916553	4.140329558306757e-06	1.54028287271197e-08	9.122278375981385e-09	1.688484838138109
Pattern_5	UKB_IDP_0160_IDP_T1_FAST_ROIs_V_cerebellum_IX	0.2176629012687378	0.3304269410546196	0.029740066213932742	1.5180673377437781	0.1366336019623947	9.570880891583232e-06	1.2193135386154501e-08	8.892908749657412e-09	1.3711076689754886
Pattern_5	UKB_IDP_0161_IDP_T1_FAST_ROIs_R_cerebellum_IX	0.2176629012687378	0.34105982623712033	0.025026258569682183	1.566917578738098	0.11497714320541688	3.449014735539016e-07	2.0789131419730376e-08	8.938278152701873e-09	2.325854159444144
Pattern_5	UKB_IDP_0162_IDP_T1_FAST_ROIs_L_cerebellum_X	0.2176629012687378	0.3117108377922572	0.02754028774828796	1.4320806897974911	0.12652724735247972	0.0003363137239147001	1.0504687820137117e-08	6.918410957942734e-09	1.5183671343022969
Pattern_5	UKB_IDP_0163_IDP_T1_FAST_ROIs_V_cerebellum_X	0.2176629012687378	0.33422504975694634	0.032898041063637	1.5355168373148482	0.15114216006438042	0.0002211691061826992	1.3080375464386233e-08	8.017009600059337e-09	1.6315778721643817
Pattern_5	UKB_IDP_0164_IDP_T1_FAST_ROIs_R_cerebellum_X	0.2176629012687378	0.32308470897313996	0.030093101003899964	1.4843352132582437	0.13825553564015705	0.0003130822841637159	9.680289522836185e-09	6.805126576304741e-09	1.4224995544598216
Pattern_5	UKB_IDP_0193_aseg_lh_volume_Cerebellum-White-Matter	0.2176629012687378	0.3793444839861802	0.028844412906475807	1.742807257346175	0.13251873763670463	3.765905943887168e-09	1.9476080438569345e-08	8.551856849355088e-09	2.2774095476163256
Pattern_5	UKB_IDP_0194_aseg_lh_volume_Cerebellum-Cortex	0.2176629012687378	0.31381704992558007	0.023595954571963184	1.4417571763326145	0.1084059545031535	6.447759223814339e-06	8.62251602564678e-09	8.036924858230412e-09	1.0728625908224934
Pattern_5	UKB_IDP_0210_aseg_rh_volume_Cerebellum-White-Matter	0.2176629012687378	0.39333645319133725	0.030634768669041395	1.807090004307642	0.14074409782500388	7.668007069009802e-10	2.1476801928684853e-08	7.9444051797367e-09	2.7033870305941083
Pattern_5	UKB_IDP_0211_aseg_rh_volume_Cerebellum-Cortex	0.2176629012687378	0.31224813263516055	0.0240725818415082	1.4345491620992543	0.110595704188409	5.51467910890343e-06	7.302909528844268e-09	8.093104354227468e-09	0.9023619626292798
